OBS|FIPS|ADM3|ADM2|ADM1|LASTUPDATED|LAT|LON|CONFIRMED|DEATHS|RECOVERED|ACTIVE|LABEL
1|N/A|N/A|Anhui|Mainland China|2020-01-22 17:00:00|0.0|0.0|1|0|0|-1|Anhui, Mainland China
2|N/A|N/A|Beijing|Mainland China|2020-01-22 17:00:00|0.0|0.0|14|0|0|-1|Beijing, Mainland China
3|N/A|N/A|Chongqing|Mainland China|2020-01-22 17:00:00|0.0|0.0|6|0|0|-1|Chongqing, Mainland China
4|N/A|N/A|Fujian|Mainland China|2020-01-22 17:00:00|0.0|0.0|1|0|0|-1|Fujian, Mainland China
5|N/A|N/A|Gansu|Mainland China|2020-01-22 17:00:00|0.0|0.0|0|0|0|-1|Gansu, Mainland China
6|N/A|N/A|Guangdong|Mainland China|2020-01-22 17:00:00|0.0|0.0|26|0|0|-1|Guangdong, Mainland China
7|N/A|N/A|Guangxi|Mainland China|2020-01-22 17:00:00|0.0|0.0|2|0|0|-1|Guangxi, Mainland China
8|N/A|N/A|Guizhou|Mainland China|2020-01-22 17:00:00|0.0|0.0|1|0|0|-1|Guizhou, Mainland China
9|N/A|N/A|Hainan|Mainland China|2020-01-22 17:00:00|0.0|0.0|4|0|0|-1|Hainan, Mainland China
10|N/A|N/A|Hebei|Mainland China|2020-01-22 17:00:00|0.0|0.0|1|0|0|-1|Hebei, Mainland China
11|N/A|N/A|Heilongjiang|Mainland China|2020-01-22 17:00:00|0.0|0.0|0|0|0|-1|Heilongjiang, Mainland China
12|N/A|N/A|Henan|Mainland China|2020-01-22 17:00:00|0.0|0.0|5|0|0|-1|Henan, Mainland China
13|N/A|N/A|Hong Kong|Hong Kong|2020-01-22 17:00:00|0.0|0.0|0|0|0|-1|Hong Kong, Hong Kong
14|N/A|N/A|Hubei|Mainland China|2020-01-22 17:00:00|0.0|0.0|444|17|28|-1|Hubei, Mainland China
15|N/A|N/A|Hunan|Mainland China|2020-01-22 17:00:00|0.0|0.0|4|0|0|-1|Hunan, Mainland China
16|N/A|N/A|Inner Mongolia|Mainland China|2020-01-22 17:00:00|0.0|0.0|0|0|0|-1|Inner Mongolia, Mainland China
17|N/A|N/A|Jiangsu|Mainland China|2020-01-22 17:00:00|0.0|0.0|1|0|0|-1|Jiangsu, Mainland China
18|N/A|N/A|Jiangxi|Mainland China|2020-01-22 17:00:00|0.0|0.0|2|0|0|-1|Jiangxi, Mainland China
19|N/A|N/A|Jilin|Mainland China|2020-01-22 17:00:00|0.0|0.0|0|0|0|-1|Jilin, Mainland China
20|N/A|N/A|Liaoning|Mainland China|2020-01-22 17:00:00|0.0|0.0|2|0|0|-1|Liaoning, Mainland China
21|N/A|N/A|Macau|Macau|2020-01-22 17:00:00|0.0|0.0|1|0|0|-1|Macau, Macau
22|N/A|N/A|Ningxia|Mainland China|2020-01-22 17:00:00|0.0|0.0|1|0|0|-1|Ningxia, Mainland China
23|N/A|N/A|Qinghai|Mainland China|2020-01-22 17:00:00|0.0|0.0|0|0|0|-1|Qinghai, Mainland China
24|N/A|N/A|Shaanxi|Mainland China|2020-01-22 17:00:00|0.0|0.0|0|0|0|-1|Shaanxi, Mainland China
25|N/A|N/A|Shandong|Mainland China|2020-01-22 17:00:00|0.0|0.0|2|0|0|-1|Shandong, Mainland China
26|N/A|N/A|Shanghai|Mainland China|2020-01-22 17:00:00|0.0|0.0|9|0|0|-1|Shanghai, Mainland China
27|N/A|N/A|Shanxi|Mainland China|2020-01-22 17:00:00|0.0|0.0|1|0|0|-1|Shanxi, Mainland China
