KEY,STATE,ABBR,LAT,LON
01,Alabama,AL,32.318230,-86.902298
02,Alaska,AK,66.160507,-153.369141
04,Arizona,AZ,34.048927,-111.093735
05,Arkansas,AR,34.799999,-92.199997
06,California,CA,36.778259,-119.417931
08,Colorado,CO,39.113014,-105.358887
09,Connecticut,CT,41.599998,-72.699997
10,Delaware,DE,39.000000,-75.500000
11,District of Columbia,DC,38.897743,-77.036620
12,Florida,FL,27.994402,-81.760254
13,Georgia,GA,33.247875,-83.441162
15,Hawaii,HI,19.741755,-155.844437
16,Idaho,ID,44.068203,-114.742043
17,Illinois,IL,40.000000,-89.000000
18,Indiana,IN,40.273502,-86.126976
19,Iowa,IA,42.032974,-93.581543
20,Kansas,KS,38.500000,-98.000000
21,Kentucky,KY,37.839333,-84.270020
22,Louisiana,LA,30.391830,-92.329102
23,Maine,ME,45.367584,-68.972168
24,Maryland,MD,39.045753,-76.641273
25,Massachusetts,MA,42.407211,-71.382439
26,Michigan,MI,44.182205,-84.506836
27,Minnesota,MN,46.392410,-94.636230
28,Mississippi,MS,33.000000,-90.000000
29,Missouri,MO,38.573936,-92.603760
30,Montana,MT,46.965260,-109.533691
31,Nebraska,NE,41.500000,-100.000000
32,Nevada,NV,39.876019,-117.224121
33,New Hampshire,NH,44.000000,-71.500000
34,New Jersey,NJ,39.833851,-74.871826
35,New Mexico,NM,34.307144,-106.018066
36,New York,NY,43.000000,-75.000000
37,North Carolina,NC,35.782169,-80.793457
38,North Dakota,ND,47.650589,-100.437012
39,Ohio,OH,40.367474,-82.996216
40,Oklahoma,OK,36.084621,-96.921387
41,Oregon,OR,44.000000,-120.500000
42,Pennsylvania,PA,41.203323,-77.194527
44,Rhode Island,RI,41.700001,-71.500000
45,South Carolina,SC,33.836082,-81.163727
46,South Dakota,SD,44.500000,-100.000000
47,Tennessee,TN,35.860119,-86.660156
48,Texas,TX,31.000000,-100.000000
49,Utah,UT,39.419220,-111.950684
50,Vermont,VT,44.000000,-72.699997
51,Virginia,VA,37.926868,-78.024902
53,Washington,WA,47.751076,-120.740135
54,West Virginia,WV,39.000000,-80.500000
55,Wisconsin,WI,44.500000,-89.500000
56,Wyoming,WY,43.075970,-107.290283
60,American Samoa,AS,-14.3064071,-170.6950175
66,Guam,GU,13.444304,144.793732
69,Northern Mariana Islands,MP,15.1063896,145.7065244
72,Puero Rico,PR,18.1987192,-66.3526747
78,Virgin Islands,VI,18.3434415,-64.8671634
