N|FIPS|ADM3|ADM2|ADM1|KEY|LAT|LON|T|01/22/2020|01/23/2020|01/24/2020|01/25/2020|01/26/2020|01/27/2020|01/28/2020|01/29/2020|01/30/2020|01/31/2020|02/01/2020|02/02/2020|02/03/2020|02/04/2020|02/05/2020|02/06/2020|02/07/2020|02/08/2020|02/09/2020|02/10/2020|02/11/2020|02/12/2020|02/13/2020|02/14/2020|02/15/2020|02/16/2020|02/17/2020|02/18/2020|02/19/2020|02/20/2020|02/21/2020|02/22/2020|02/23/2020|02/24/2020|02/25/2020|02/26/2020|02/27/2020|02/28/2020|02/29/2020|03/01/2020|03/02/2020|03/03/2020|03/04/2020|03/05/2020|03/06/2020|03/07/2020|03/08/2020|03/09/2020|03/10/2020|03/11/2020|03/12/2020|03/13/2020|03/14/2020|03/15/2020|03/16/2020|03/17/2020|03/18/2020|03/19/2020|03/20/2020|03/21/2020|03/22/2020|03/23/2020|03/24/2020|03/25/2020|03/26/2020|03/27/2020|03/28/2020|03/29/2020|03/30/2020|03/31/2020|04/01/2020|04/02/2020|04/03/2020|04/04/2020|04/05/2020|04/06/2020|04/07/2020|04/08/2020|04/09/2020|04/10/2020|04/11/2020|04/12/2020|04/13/2020|04/14/2020|04/15/2020|04/16/2020|04/17/2020|04/18/2020|04/19/2020|04/20/2020|04/21/2020|04/22/2020|04/23/2020|04/24/2020|04/25/2020|04/26/2020|04/27/2020|04/28/2020|04/29/2020|04/30/2020|05/01/2020|05/02/2020|05/03/2020|05/04/2020|05/05/2020
1|N/A|N/A|N/A|N/A|World|0.0|0.0|C|555|655|943|1436|2118|2927|5580|6166|8237|9927|12038|16788|19881|23892|27635|30824|34391|37120|40150|42762|44802|45221|60368|66885|69030|71224|73258|75137|75639|76197|76819|78572|78959|79526|80371|81346|82704|84069|85974|88327|90262|92798|95082|97844|101768|105790|109759|113538|118390|125734|128300|145242|156256|166964|181323|196820|216324|243026|272527|304981|337598|378234|418377|468208|529776|593865|661005|720686|782583|858282|932678|1013526|1095998|1176134|1249874|1321668|1396575|1480493|1565828|1658231|1736123|1835437|1905869|1975809|2055591|2152005|2240180|2315821|2396526|2467360|2544424|2622162|2709116|2796080|2881277|2955112|3023870|3097243|3172367|3257301|3343990|3427703|3506816|3583153|3662691
2|N/A|N/A|N/A|N/A|World|0.0|0.0|D|17|18|26|42|56|82|131|133|171|213|259|362|426|492|564|634|719|806|906|1013|1113|1118|1371|1523|1666|1770|1868|2008|2123|2247|2251|2458|2469|2629|2708|2770|2814|2872|2941|2996|3085|3161|3254|3347|3459|3558|3802|3987|4265|4610|4722|5412|5832|6470|7156|7958|8859|9962|11440|13174|14844|16766|19023|21805|24805|28304|31970|35466|39584|44642|50067|56200|62151|67968|72964|78818|86680|93399|100918|108161|114353|119901|125613|132465|140682|148259|156844|163272|167887|173222|180390|186965|193680|200002|206192|209911|214492|220804|227743|233531|238708|243810|247479|251554|257239
3|N/A|N/A|N/A|N/A|World|0.0|0.0|R|28|30|36|40|53|62|108|128|143|223|288|472|626|854|1124|1487|2012|2616|3241|3945|4684|5149|6292|8056|9403|10863|12580|14349|16118|18174|18885|22881|23389|25222|27928|30378|33271|36704|39775|42709|45596|48221|51163|53791|55858|58351|60690|62488|64398|66999|68312|70249|72612|76032|78074|80832|83209|84865|87427|91538|97721|98205|107673|113429|121472|130056|138344|146426|158956|171014|185044|201274|216097|231514|242628|256949|278294|305103|328571|347309|370842|388736|405175|426205|458408|487163|509219|526881|552974|572979|604693|632669|658808|690521|717042|738997|762255|791009|827713|859924|888400|917766|945088|975544|1009041
4|N/A|N/A|N/A|Afghanistan|Afghanistan|33.0|65.0|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|1|1|1|1|4|4|5|7|7|7|11|16|21|22|22|22|24|24|40|40|74|84|94|110|110|120|170|174|237|273|281|299|349|367|423|444|484|521|555|607|665|714|784|840|906|933|996|1026|1092|1176|1279|1351|1463|1531|1703|1828|1939|2171|2335|2469|2704|2894|3224
5|N/A|N/A|N/A|Afghanistan|Afghanistan|33.0|65.0|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|2|4|4|4|4|4|4|4|6|6|7|7|11|14|14|15|15|18|18|21|23|25|30|30|30|33|36|36|40|42|43|47|50|57|58|60|64|68|72|85|90|95
6|N/A|N/A|N/A|Afghanistan|Afghanistan|33.0|65.0|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|1|1|2|2|2|2|2|2|5|5|10|10|10|15|18|18|29|32|32|32|32|32|40|43|54|99|112|131|135|150|166|179|188|188|207|220|228|252|260|310|331|345|397|421
7|N/A|N/A|N/A|Albania|Albania|41.1533|20.1683|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|10|12|23|33|38|42|51|55|59|64|70|76|89|104|123|146|174|186|197|212|223|243|259|277|304|333|361|377|383|400|409|416|433|446|467|475|494|518|539|548|562|584|609|634|663|678|712|726|736|750|766|773|782|789|795|803|820
8|N/A|N/A|N/A|Albania|Albania|41.1533|20.1683|D|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|1|2|2|2|2|2|4|5|5|6|8|10|10|11|15|15|16|17|20|20|21|22|22|23|23|23|23|23|24|25|26|26|26|26|26|26|27|27|27|27|28|28|30|30|31|31|31|31|31|31
9|N/A|N/A|N/A|Albania|Albania|41.1533|20.1683|R|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|2|2|2|10|17|17|31|31|33|44|52|67|76|89|99|104|116|131|154|165|182|197|217|232|248|251|277|283|302|314|327|345|356|385|394|403|410|422|431|455|470|488|519|531|543|570
10|N/A|N/A|N/A|Algeria|Algeria|28.0339|1.6596|C|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|1|1|1|1|1|3|5|12|12|17|17|19|20|20|20|24|26|37|48|54|60|74|87|90|139|201|230|264|302|367|409|454|511|584|716|847|986|1171|1251|1320|1423|1468|1572|1666|1761|1825|1914|1983|2070|2160|2268|2418|2534|2629|2718|2811|2910|3007|3127|3256|3382|3517|3649|3848|4006|4154|4295|4474|4648|4838
